Timestamp,Emotion,Confidence
2025-07-14T23:23:56.149829,Fear,36.3
2025-07-14T23:23:56.335600,Fear,37.3
2025-07-14T23:23:56.526652,Fear,36.5
2025-07-14T23:23:56.709480,Fear,45.3
2025-07-14T23:23:56.881340,Fear,44.3
2025-07-14T23:23:57.055219,Fear,47.9
2025-07-14T23:23:57.234874,Fear,34.1
2025-07-14T23:23:57.424257,Fear,52.5
2025-07-14T23:23:57.608175,Fear,39.3
2025-07-14T23:23:57.790032,Fear,43.7
2025-07-14T23:23:57.973503,Fear,31.2
2025-07-14T23:23:58.149710,Neutral,35.6
2025-07-14T23:23:58.327498,Fear,44.1
2025-07-14T23:23:58.511054,Fear,54.8
2025-07-14T23:23:58.698397,Fear,44.8
2025-07-14T23:23:58.882018,Angry,55.0
2025-07-14T23:23:59.063620,Angry,74.1
2025-07-14T23:23:59.234838,Angry,53.5
2025-07-14T23:23:59.413586,Angry,55.3
2025-07-14T23:23:59.584614,Fear,47.1
2025-07-14T23:23:59.767154,Fear,43.9
2025-07-14T23:23:59.953627,Fear,69.5
2025-07-14T23:24:00.152265,Fear,54.1
2025-07-14T23:24:00.335670,Fear,48.7
2025-07-14T23:24:00.506779,Fear,43.5
2025-07-14T23:24:00.676463,Fear,36.8
2025-07-14T23:24:00.861577,Fear,39.5
2025-07-14T23:24:01.049204,Fear,42.5
2025-07-14T23:24:01.238603,Fear,50.5
2025-07-14T23:24:01.438384,Fear,48.9
2025-07-14T23:24:01.614054,Fear,50.8
2025-07-14T23:24:01.811921,Fear,39.7
2025-07-14T23:24:01.995757,Fear,39.0
2025-07-14T23:24:02.182249,Fear,57.8
2025-07-14T23:24:02.373822,Fear,49.1
2025-07-14T23:24:02.633337,Happy,95.2
2025-07-14T23:24:02.809604,Happy,97.8
2025-07-14T23:24:02.984975,Happy,96.4
2025-07-14T23:24:03.161269,Happy,98.9
2025-07-14T23:24:03.338352,Happy,99.1
2025-07-14T23:24:03.514947,Happy,89.4
2025-07-14T23:24:03.693373,Happy,90.9
2025-07-14T23:24:03.881822,Happy,58.8
2025-07-14T23:24:04.060059,Happy,67.2
2025-07-14T23:24:04.243138,Happy,95.7
2025-07-14T23:24:04.427046,Neutral,34.0
2025-07-14T23:24:04.615107,Sad,36.4
2025-07-14T23:24:04.802803,Sad,29.8
2025-07-14T23:24:04.986447,Sad,27.5
2025-07-14T23:24:05.180239,Sad,24.9
2025-07-14T23:24:05.365922,Happy,29.4
2025-07-14T23:24:05.550694,Angry,31.8
2025-07-14T23:24:05.724312,Neutral,29.9
2025-07-14T23:24:05.903741,Neutral,39.8
2025-07-14T23:24:06.090731,Neutral,38.1
2025-07-14T23:24:06.286079,Neutral,42.6
2025-07-14T23:24:06.455289,Neutral,54.4
2025-07-14T23:24:06.644523,Neutral,49.6
2025-07-14T23:24:06.831503,Neutral,39.8
2025-07-14T23:24:07.014505,Angry,35.8
2025-07-14T23:24:07.201630,Sad,34.6
2025-07-14T23:24:07.391516,Sad,32.6
2025-07-14T23:24:07.572415,Angry,33.1
2025-07-14T23:24:07.753650,Angry,42.3
2025-07-14T23:24:07.947153,Angry,35.0
2025-07-14T23:24:08.129515,Sad,29.5
2025-07-14T23:24:08.310315,Angry,37.2
2025-07-14T23:24:08.487834,Angry,38.9
2025-07-14T23:24:08.670276,Sad,31.9
2025-07-14T23:24:08.856054,Sad,32.7
2025-07-14T23:24:09.034264,Angry,28.9
2025-07-14T23:24:09.221497,Sad,32.9
2025-07-14T23:24:09.396234,Sad,32.9
